id_seq,titulo,resumo,palavras_chave,idioma,source,ano,decisao_ia_piloto,criterio_ia_piloto,justificativa_ia_piloto,inconsistencia_json,motivo_inconsistencia,acao_guardrail,calibracao_ok,observacao_calibracao
360,Non-monetary sanctions as tax enforcement tools: Evaluating California's top 500 program,"Many U.S. states and countries around the world use non-monetary sanctions, including public disclosure, license suspension, and withholding of other government-provided benefits or privileges, to encourage tax compliance. Little is known about the effectiveness of these programs. Using administrative tax microdata from California's “Top 500” program, we study whether notices warning of the imminent publication of a taxpayer's personal information and potential license suspension affect payment and other compliance outcomes. Exploiting variation over time in the cutoff balance for program eligibility, we find evidence of strong positive compliance responses to the program. We also develop estimates of the long-run revenue and social-welfare effects of the program. Together, these results suggest that non-monetary sanctions can be efficient tax enforcement tools, at least among the relatively high-income population we study. © 2024 by the Association for Public Policy Analysis and Management.",,English,Scopus,2024,incluir,,"O artigo trata diretamente da administração tributária em sua dimensão coercitiva e executória: avalia a eficácia de sanções não monetárias (divulgação pública, suspensão de licença, retenção de benefícios governamentais) como ferramentas de enforcement fiscal no programa ""Top 500"" da Califórnia. Analisa o comportamento de conformidade dos contribuintes em resposta a essas medidas, utilizando microdados administrativos fiscais. Está inteiramente dentro do escopo da revisão — enforcement, dissuasão, penalidades, conformidade do contribuinte e recuperação de crédito tributário — e redigido em inglês.",False,,,,
446,AI Surge: Intrinsically Transfiguring Tax Evasion,"The intersection of artificial intelligence and tax evasion became a focal point of interest. Analyzing the implications, challenges, and opportunities that artificial intelligence brought forth is considered an important breakthrough, which can provide valuable insights into the evolving landscape of tax compliance and enforcement. As AI technology revolutionized the way data is processed, providing unparalleled capabilities to identify patterns and anomalies within vast sets of data, it emerged as the touchstone, which, once developed, can be easily applied to the realm of tax evasion, holding promise for the development of detection mechanisms, uncovering intricate schemes, and minimizing false positives, thereby bolstering the tax enforcement effectiveness. AI technology can also handle the complex and multifaceted challenges, characterized by tax evasion’s dynamic nature. Being powerful tools that keep pace with the evolving tactics utilized by non-compliant entities, AI advanced approaches can combat tax evasion, introducing a paradigm shift that enables authorities to adapt to the perplexity and burstiness inherent in taxation schemes. Leveraging AI for enhanced detection and harnessing the power of AI-driven algorithms can support companies towards sifting through massive volumes of financial data, identifying irregularities and potential instances with unprecedented speed. The AI technology’s ability to recognize nuanced patterns and correlations empowers tax agencies to conduct targeted investigations, thereby amplifying their capacity to tackle tax evasion while minimizing false accusations. © 2025 The Editor(s) (if applicable) and The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd.",AI integration in taxation practices | Artificial intelligence | Tax compliance | Tax evasion | Tax fraud detection techniques | Compliant mechanisms | Crime | Information management | Information systems | Information use | Pattern recognition | Taxation | AI integration in taxation practice | AI Technologies | Detection mechanism | Dynamic nature | False positive | Focal points | Fraud detection | Tax compliance | Tax evasions | Tax fraud detection technique | Artificial intelligence,English,Scopus,2025,incluir,,"O artigo trata diretamente da administração tributária na dimensão coercitiva e de enforcement, abordando o uso de inteligência artificial para detecção de evasão fiscal, mecanismos de conformidade e efetividade do enforcement tributário. Contempla o comportamento de não conformidade do contribuinte (tax evasion) e o papel das autoridades fiscais na sua identificação e combate, enquadrando-se no escopo da revisão sobre cobrança, execução e comportamento do contribuinte.",False,,,,
502,Taxation of international business organizations,"Taxation is a contemporary economic issue that impacts on all the countries in the world. A majority of governments across the world finance their operations and support their nationals through revenue collection which comes in the form of taxes. Taxes are imposed both on individuals and body corporates operating within a particular territorial jurisdiction. Additionally, countries tax their citizens and parent organizations that operate in overseas countries. This article looks into the concept of taxation in international accounting. The study breaks down the broad topic into finer and understandable concepts. It does so through addressing the manner in which multinational business organizations and individuals working in overseas nations are taxed. Secondly, the journal looks into the issue of tax evasion and avoidance by these two categories of entities. The study is supported by both primary and secondary resource materials that are used as reference points for backing arguments. The primary approach used in the document is the extraction of data from the authentic governmental sources which is then analysed and related to the studied sources to form sensible arguments. The paper is organized in different sections starting with the introduction which gives the foresight of the entire content of the document. After the introduction there is the inclusion of methods used in accessing information and abstracting data to form understandable information. The final results of the research are indicated in the second-last section of the journal while the conclusion closes the paper in the end. © 2002-2018 Allied Business Academies.",High-tax jurisdiction | International business organizations | Low-tax jurisdiction | Tax avoidance | Tax evasion,English,Scopus,2018,excluir,EC-A2,"O artigo trata de tributação internacional de organizações empresariais multinacionais, com foco em evasão e elisão fiscal (tax evasion e tax avoidance) em contexto de planejamento tributário preventivo. Não aborda a dimensão coercitiva, executória ou contenciosa da cobrança tributária (enforcement fiscal, execução, litígio, auditoria, penalidades), nem o comportamento de conformidade/inadimplência do contribuinte com impacto direto na cobrança. O escopo recai sobre contabilidade internacional e planejamento tributário, fora do objeto da revisão.",False,,,,
507,Tax reform in Mexico: A general equilibrium assessment,"This article reports the results of an Applied General Equilibrium Model (AGEM) built to simulate a recent fiscal reform initiative of the Mexican government. Treating public revenues as endogenous and tax rates as exogenous variables, the model explicitly incorporates both the tax structure and the oil-exporting sector as important sources of government revenues. The results confirm that the fiscal problem in Mexico lies in the low degree of tax compliance. By simulating the reform starting in the year 2008, the results suggest that consumption taxes are not necessarily the unique solution to the tax collection process in a developing country like Mexico. © 2011 Taylor & Francis.",Mexico [North America] | compliance | computer simulation | developing world | fiscal reform | general equilibrium analysis | tax system,English,Scopus,2011,excluir,EC-A6,"O artigo utiliza um Modelo de Equilíbrio Geral Aplicado (AGEM) para simular uma reforma fiscal no México, tratando a arrecadação tributária e o cumprimento fiscal (tax compliance) em nível macroeconômico agregado. Embora mencione o baixo grau de conformidade tributária como problema central, a análise é conduzida exclusivamente em perspectiva macroeconômica/estrutural (estrutura tributária, setor exportador de petróleo, receitas públicas endógenas), sem foco em mecanismos processuais de cobrança, enforcement individualizado, execução fiscal ou litígio tributário. Enquadra-se, portanto, no critério EC-A6, que exclui estudos que tratam a eficiência arrecadatória ou o enforcement exclusivamente em nível macroeconômico ou cross-country.",False,,,,
536,An experimental evaluation of notification strategies to increase property tax compliance: Free-riding in the city of brotherly love,"This study evaluates a set of notification strategies intended to increase property tax collection. To test these strategies, we develop a field experiment in collaboration with the Philadelphia Department of Revenue. The resulting notification strategies draw on core rationales for tax compliance: deterrence, the need to finance the provision of public goods and services, as well as an appeal to civic duty. Our empirical findings provide evidence that carefully designed and targeted notification strategies can modestly improve tax compliance. © 2016 by the National Bureau of Economic Research. All rights reserved.",,English,Scopus,2016,incluir,,"O estudo trata diretamente de estratégias de notificação para aumentar a conformidade no pagamento de impostos sobre propriedade (property tax), conduzido em colaboração com o Departamento de Receita de Filadélfia. Abrange dimensões de enforcement (dissuasão/deterrence), cobrança tributária e comportamento de (in)adimplemento do contribuinte, com experimento de campo que avalia a efetividade das estratégias. Está plenamente dentro do escopo da revisão.",False,,,,
750,The effect of tax enforcement on tax elasticities: Evidence from charitable contributions in France,"In the ""sufficient statistics"" approach, the optimal tax rate is usually expressed as a function of tax elasticities that are often endogenous to other policy instruments available to the tax authority, such as the level of information, enforcement, etc. In this paper we provide evidence that both the magnitude and the anatomy of tax elasticities are extremely sensitive to a particular policy instrument: the level of tax enforcement. We exploit a natural experiment that took place in France in 1983, when the tax administration tightened the requirements to claim charitable deductions. The reform led to a substantial drop in the amount of contributions reported to the administration, which can be credibly attributed to overreporting of charitable contributions before the reform, rather than to a real change in giving behaviors. We show that the reform was also associated with a substantial decline in the absolute value of the elasticity of reported contributions. This finding allows us to partially identify the elasticity of overreporting contributions, which is shown to be large and inferior to -. 2 in the lax enforcement regime. We further show using bunching of taxpayers at kink-points of the tax schedule that the elasticity of taxable income also experienced a significant decline after the reform. Our results suggest that failure to account for the effect of tax enforcement on both the magnitude and the anatomy of the elasticity of the tax base with respect to the net of tax rate can lead to misleading policy conclusions, both for the global optimal tax rate (when all policy instruments are optimized) and the local optimal tax rate (conditional on all other policy instruments staying at their status quo levels, potentially away from the optimum). © 2015 Elsevier B.V.",Charitable giving | Elasticity | Tax enforcement | Tax evasion | Taxable income,English,Scopus,2016,incluir,,"O artigo trata diretamente do enforcement tributário (nível de fiscalização e exigências da administração fiscal), abordando a dimensão coercitiva e executória da cobrança de tributos na França. Analisa o comportamento estratégico do contribuinte, incluindo sobredeclaração de deduções (overreporting) como forma de evasão fiscal, e como o endurecimento das exigências administrativas alterou esse comportamento. Está redigido em inglês e conecta diretamente o enforcement fiscal à conformidade/inadimplência do contribuinte, alinhando-se ao escopo central da revisão.",False,,,,
768,Tax treaty disputes in Chile,"Introduction: In Chile tax treaty disputes are rare and have been largely solved at the administrative level. Thus, our discussion is based mostly on the analysis of general and special law and principles of law, as well as on rulings and administrative interpretation by the Chilean tax authority (SII), rather than on actual court decisions. The lack of judicial judgments on international tax matters and in particular on tax treaties is explained by several reasons. One of them is the relatively limited experience within the SII on international taxation and tax treaties, which has led to relatively few audits and therefore controversies in this field. In part, this is explained by a rather short history of the legal framework which usually generates such disputes: in Chile almost all tax treaties have entered in force after 2000, while a more effective transfer pricing legislation was only introduced in 2012. As the SII’s audit unit acquires more experience in international tax issues (particularly after Chile joined the OECD in 2010), it should be expected that the number of disputes with taxpayers will increase, since its audits programmes will become more sophisticated and will address more efficiently the usual controversial issues on tax treaties. Another reason is that until 2010 the first instance courts for tax litigation were within the SII itself. Thus, the Chilean tax administration was a judge and a party in all tax controversies. Therefore, for many taxpayers, it was a common strategy to negotiate a settlement either before litigation or during the first instance of a case. The perception was that it would be unlikely to result in a fair judgment at first instance, which then reduced the chances of success in the Courts of Appeals and the Supreme Court. In this new scenario, the judicial strategy of taxpayers will probably change, as they perceive that there is an opportunity for a fair trial at first instance. Lastly, an important cause has been the relatively expeditious access for taxpayers to the SII’s opinions on given cases. The responses or rulings set the ground for taxpayers to analyse whether there could be a conflict and, therefore, normally most of them adapted their behaviour accordingly. © Cambridge University Press 2017.",,English,Scopus,2017,incluir,,"O artigo trata diretamente de disputas tributárias no âmbito de tratados fiscais no Chile, abordando o contencioso tributário (litígio e disputa tributária), o comportamento estratégico dos contribuintes (negociação de acordos, estratégias judiciais), a atuação coercitiva e fiscalizatória da autoridade tributária chilena (SII), incluindo auditorias e a evolução do enforcement em matéria de preços de transferência e tratados internacionais. Todos esses elementos estão dentro do escopo da revisão (enforcement, litígio tributário, conduta do contribuinte frente à cobrança). Não há critério de exclusão aplicável.",False,,,,
858,SLOVAKIA AND TAX EVASION OF VALUE ADDED TAX IN THE GLOBAL ECONOMY,"This article deals with the issue of VAT evasion in the Slovak Republic and the policy of reducing tax evasion in the global economy. The effective VAT collection is a very important part of the implementation of state budget in term of revenue structure for each state. The importance of tax collection is also confirmed by the European Union. A substantial part of the revenue structure in the Slovak state budget includes VAT. From the point of view of public finances, VAT contributes to the state budget more than all direct taxes; it means that this tax is extremely important. VAT is also a dominant tax for households for two reasons. Firstly, if VAT is the main source of public revenue, it means that it most contributes to the tax burden on households by reducing disposable income. Secondly, VAT is characterized by generality; it means that VAT is applied without exception to all households. The tax system of the Slovak Republic and the European Union is not perfect. Many tax fraudsters abuse and rob the state in the form of excessive VAT deductions. In the past, the Slovak Republic was one of the worst countries in the European Union in terms of tax collection efficiency, but we have seen some progress in recent years.",tax | global economy | VAT | tax evasion | state budget,English,WoS,2018,dúvida,EC-A6,"O artigo aborda a evasão fiscal do IVA na Eslováquia, incluindo fraude tributária (deduções indevidas de IVA) e políticas de redução da evasão, o que tangencia a dimensão coercitiva e de enforcement da administração tributária. Contudo, o resumo não deixa claro se o trabalho trata efetivamente de mecanismos de cobrança, execução fiscal ou litígio tributário, ou se se limita à análise macroeconômica/orçamental da eficiência arrecadatória em nível agregado (VAT gap, receita pública, estrutura orçamental do Estado eslovaco na economia global). A ausência de referência explícita a enforcement, auditoria, penalidades ou comportamento estratégico do contribuinte frente à cobrança gera dúvida sobre se o escopo vai além de uma análise macroeconômica cross-country/agregada, o que poderia enquadrá-lo em EC-A6.",False,,,,
864,THE USE OF DIGITAL TECHNOLOGIES AND ARTIFICIAL INTELLIGENCE IN IMPROVING TAX COLLECTION EFFICIENCY IN IRAQ,"It is no secret that the taxation system used in Iraq has been languishing in a great deal of challenges because of poor revenue collection, high rates of tax evasion and not to forget the continued adopting of what is now considered outdated ways of financial management. And because of what we see as from rapid development in the arenas of artificial intelligence and digital transformation technologies worldwide, there does come up a pressing need for a comprehensive reform of tax collection mechanisms. This reform takes the form of using advanced digital systems that can further transparency and at the same time bridge any compliance gaps. In this current study, we tried to investigate the role of modern technologies and how they can take the efficiency of tax collection in Iraq to the next the country so desperately needs. In doing so, it juxtaposes successful experiences from other countries in the world so as to propose practical ways for their applying them within the Iraqi institutional context. As a methodology, we follow an admixture of a descriptive analytical and comparative approach in which we assess such experiences namely those of France, India, the UAE, and Egypt. We them put them in comparison with the legislative and administrative state-of-affairs in Iraq.The results we obtained from the study suggest that the most visible obstacles to digital transformation can be described as the dearth of financial legislation and there is also no unified database that can be relied on in addition to the fragile state of the technical infrastructure in the country. However, we can recommend updating tax laws and enacting a personal data protection law as solutions towards bridging this gap. Moreover, we recommend adopting invoices and electronic signatures as these are vital necessities today for securing the reform the country anticipates to achieve. Lastly, we also call for more attention to the paramount importance of qualifying the relevant staff and providing them with advanced digital skills in this regard.",Artificial Intelligence | Digital Transformation | Tax Collection | Financial Reform in Iraq | Smart Tax Management,English,WoS,2025,incluir,,"O estudo aborda diretamente a administração tributária estatal (contexto iraquiano), com foco na eficiência da arrecadação e no combate à evasão fiscal por meio de tecnologias digitais e inteligência artificial. Trata da dimensão coercitiva e executória da cobrança tributária (enforcement, combate à evasão, conformidade do contribuinte) e propõe reformas nos mecanismos de coleta e fiscalização fiscal. Está redigido em inglês e conecta a tecnologia à efetividade do enforcement e da cobrança, não se limitando a percepções atitudinais nem a modelagem macroeconômica agregada. Há dúvida razoável suficientemente baixa para inclusão na etapa seguinte.",False,,,,
933,Political connections and regulatory efficiency: Evidence from the anti-corruption campaign in China,"Exploiting China's anti-corruption campaign launched in 2012 as an exogenous shock, I find that the reduction in firms' political connections significantly promotes regulatory efficiency in addressing corporate violations. Further evidence shows that the effect of reduced political connections on regulatory efficiency is more pronounced in cities with a higher intensity of anti-corruption investigations and among the cases without the participation of local regulators. This study reveals the regulatory injustice between firms with political connections and those without, suggesting that the removal of firms' connections with their regulators can reduce the frictions resulting from the delay of information release.",CORPORATE-TAX EVASION | JUDICIAL EFFICIENCY | AUDITOR REPUTATION | GENDER DIVERSITY | INFORMATION | FRAUD | FIRMS | QUALITY | COST | CONSEQUENCES,English,WoS,2025,excluir,EC-A2,"O estudo analisa a eficiência regulatória em relação a violações corporativas no contexto da campanha anticorrupção da China, focando em conexões políticas de empresas e injustiça regulatória. Embora mencione evasão fiscal nas palavras-chave, o objeto central é a regulação de violações corporativas em geral (corporate violations), sem abordar especificamente a dimensão coercitiva ou executória da cobrança tributária, nem o comportamento de conformidade/inadimplência fiscal do contribuinte. Trata-se essencialmente de um estudo de governança corporativa e eficiência regulatória sem foco litigioso ou de enforcement tributário.",False,,,,
